,doc_id,premise,hypothesis,label,premise_count,hypothesis_count
31,31,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,0,0,0
32,32,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,2,0,0
33,33,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a basketball game.,2,0,0
34,34,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A high school is hosting an event.,1,0,0
35,35,The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school is hosting an event.,0,0,0
36,36,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women do not care what clothes they wear.,2,0,0
37,37,High fashion ladies wait outside a tram beside a crowd of people in the city.,Women are waiting by a tram.,0,0,0
38,38,High fashion ladies wait outside a tram beside a crowd of people in the city.,The women enjoy having a good fashion sense.,1,0,0
39,39,"A man, woman, and child enjoying themselves on a beach.","A child with mom and dad, on summer vacation at the beach.",1,0,0
40,40,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the beach.,0,0,0
41,41,"A man, woman, and child enjoying themselves on a beach.",A family of three is at the mall shopping.,2,0,0
42,42,People waiting to get on a train or just getting off.,The people waiting on the train are sitting.,1,0,0
43,43,People waiting to get on a train or just getting off.,There are people just getting on a train,0,0,0
44,44,People waiting to get on a train or just getting off.,There are people waiting on a train.,0,0,0
45,45,A couple playing with a little boy on the beach.,A couple are playing with a young child outside.,0,0,0
46,46,A couple playing with a little boy on the beach.,A couple are playing frisbee with a young child at the beach.,1,0,0
47,47,A couple playing with a little boy on the beach.,A couple watch a little girl play by herself on the beach.,2,0,0
48,48,A couple play in the tide with their young son.,The family is sitting down for dinner.,2,1,2
49,49,A couple play in the tide with their young son.,The family is outside.,0,1,1
50,50,A couple play in the tide with their young son.,The family is on vacation.,1,1,12
51,51,A man and a woman cross the street in front of a pizza and gyro restaurant.,The people are standing still on the curb.,2,0,0
52,52,A man and a woman cross the street in front of a pizza and gyro restaurant.,"Near a couple of restaurants, two people walk across the street.",0,0,0
53,53,A man and a woman cross the street in front of a pizza and gyro restaurant.,The couple are walking across the street together.,1,0,0
54,54,A woman in a green jacket and hood over her head looking towards a valley.,The woman is nake.,2,0,0
55,55,A woman in a green jacket and hood over her head looking towards a valley.,The woman is cold.,1,0,2
56,56,A woman in a green jacket and hood over her head looking towards a valley.,The woman is wearing green.,0,0,0
57,57,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man with the sign is caucasian.,1,0,0
58,58,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are protesting outside the capital.,2,0,0
59,59,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman in white.,0,0,30
60,60,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man is advertising for a restaurant.,0,0,0
61,61,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing black.,2,0,0
62,62,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a woman walk down a crowded city street.,1,0,0
63,63,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is wearing white.,0,0,0
64,64,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are working for John's Pizza.,1,0,0
65,65,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,Olympic swimming.,2,0,1118
66,66,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A man and a soman are eating together at John's Pizza and Gyro.,2,0,0
67,67,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,They are walking with a sign.,0,0,0
68,68,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman is waiting for a friend.,1,0,0
69,69,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The man is sitting down while he has a sign for John's Pizza and Gyro in his arms.,2,0,0
70,70,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,The woman and man are outdoors.,0,0,0
71,71,Woman in white in foreground and a man slightly behind walking with a sign for John's Pizza and Gyro in the background.,A woman ordering pizza.,1,0,0
72,72,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The people are related.,1,0,0
73,73,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults run across the street to get away from a red shirted person chasing them.,2,0,0
74,74,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",The adults are both male and female.,0,0,0
75,75,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk home after a tasty steak dinner.,1,0,0
76,76,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults swimming in water,2,0,0
77,77,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across a street.,0,0,0
78,78,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people ride bicycles into a tunnel.,2,0,0
79,79,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two people walk away from a restaurant across a street.,0,0,0
80,80,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road near the convicted prisoner dressed in red,1,0,0
81,81,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two friends cross a street.,1,0,0
82,82,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Some people board a train.,2,0,0
83,83,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street.,0,0,0
84,84,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walking across a road,0,0,0
85,85,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",There are no women in the picture.,2,0,6
86,86,"Two adults, one female in white, with shades and one male, gray clothes, walking across a street, away from a eatery with a blurred image of a dark colored red shirted person in the foreground.",Two adults walk across the street to get away from a red shirted person who is chasing them.,1,0,0
87,87,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is sleeping.,2,0,0
88,88,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A female is next to a man.,0,0,0
89,89,"A woman wearing all white and eating, walks next to a man holding a briefcase.",A married couple is walking next to each other.,1,0,0
90,90,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",Nobody has food.,2,1,2
91,91,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats a banana and walks across a street, and there is a man trailing behind her.",0,1,0
92,92,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The woman and man are playing baseball together.,2,1,0
93,93,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",two coworkers cross pathes on a street,1,1,0
94,94,"A woman is walking across the street eating a banana, while a man is following with his briefcase.","A woman eats ice cream walking down the sidewalk, and there is another woman in front of her with a purse.",2,1,0
95,95,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",The mans briefcase is for work.,1,1,0
96,96,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person eating.,0,1,0
97,97,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",A person that is hungry.,1,1,0
98,98,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",An actress and her favorite assistant talk a walk in the city.,1,1,0
99,99,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",a woman eating a banana crosses a street,0,1,2
100,100,"A woman is walking across the street eating a banana, while a man is following with his briefcase.",the woman is a seductress,1,1,5
